...1,contain,name_g,score_g,num_g,score_i,num_i,score_t,num_t,address,區,路,段,cate_早餐,cate_中式,cate_日式,cate_韓式,cate_港式,cate_東南亞,cate_美式,cate_中東,cate_歐式,cate_非洲,cate_甜點.咖啡廳,cate_飲料,cate_酒吧,ave_price,image_file,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,image_source,link_i,link_t,name_i,name_t,max_price,min_price,score_w
11,two,匠樂割烹壽司,4.6,318,NA,NA,5,15,106 台灣大安台北大安區四維路52巷31號,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_10.png,6:00PM-01:00AM,6:00PM-01:00AM,6:00PM-01:00AM,6:00PM-01:00AM,6:00PM-02:00AM,6:00PM-02:00AM,6:00PM-01:00AM,https://media-cdn.tripadvisor.com/media/photo-p/13/c6/a4/bf/photo5jpg.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d8766681-Reviews-Jiangle_Restaurant-Da_an_Taipei.html,,匠樂烹割壽司料亭,NA,NA,4.618018018
12,two,朱記餡餅粥店 永康店,4.2,1920,NA,NA,4,15,106 台灣大安台北大安區永康街6巷10號,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_11.png,07:30AM-10:00PM,07:30AM-10:00PM,07:30AM-10:00PM,07:30AM-10:00PM,07:30AM-10:00PM,07:30AM-10:00PM,07:30AM-10:00PM,https://media-cdn.tripadvisor.com/media/photo-s/1a/b1/22/d4/zhi-ji-yonkang.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12200122-Reviews-Zhuji_Yongkang-Da_an_Taipei.html,,朱記餡餅粥店(永康店),NA,NA,4.198449612
13,two,Lucky Five,3.4,103,NA,NA,2.5,2,106 台灣大安台北大安區光復南路200巷26號Da'an District,大安區,,,0,0,0,0,0,0,1,0,1,0,1,0,0,NA,,休息,1:00PM-6:00PM,休息,休息,休息,休息,1:00PM-6:00PM,,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12952245-Reviews-Lucky5_Light_Cafe-Da_an_Taipei.html,,Lucky5 Light Cafe,NA,NA,3.382857143
14,two,咚咚家韓式豬肉,4,2159,NA,NA,4,32,106 台灣大安台北大安區光復南路280巷29號,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_13.png,07:00AM-2:00PM,07:00AM-2:00PM,07:00AM-2:00PM,07:00AM-2:00PM,07:00AM-2:00PM,07:00AM-3:00PM,07:00AM-3:00PM,https://media-cdn.tripadvisor.com/media/photo-s/16/8f/79/43/caption.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12342937-Reviews-Don_Don_Ga_BBQ-Da_an_Taipei.html,,咚咚家韓式豬肉專賣,NA,NA,4
15,two,韓式炸雞Pelicana百力佳納 台灣旗艦店,3.7,420,NA,NA,4,5,106 台灣大安台北大安區光復南路280巷43號,大安區,,,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,tripadvisor_14.png,"11:00AM-2:00PM, 4:30PM-9:00PM","11:00AM-2:00PM, 4:30PM-9:00PM","11:00AM-2:00PM, 4:30PM-9:00PM","11:00AM-2:00PM, 4:30PM-9:00PM","11:00AM-2:00PM, 4:30PM-9:00PM","11:00AM-2:30PM, 4:30PM-9:00PM","11:00AM-2:30PM, 4:30PM-9:00PM",https://media-cdn.tripadvisor.com/media/photo-s/11/24/7b/ee/visit-our-restaurant.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d13076905-Reviews-Pelicana_Chicken_Taiwan-Da_an_Taipei.html,,百力佳納,NA,NA,3.703529412
16,two,Jamling cafe 東京鬆餅,4.1,1132,NA,NA,4,50,106 台灣大安台北大安區安和路一段127巷29弄15號,大安區,,,0,0,0,0,0,0,0,0,1,0,1,0,0,181,tripadvisor_15.png,休息,4:30PM-10:00PM,4:30PM-10:00PM,4:30PM-10:00PM,4:30PM-10:00PM,4:30PM-10:00PM,休息,https://media-cdn.tripadvisor.com/media/photo-p/0e/6c/31/6c/photo0jpg.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d7286462-Reviews-Jamling_Cafe-Da_an_Taipei.html,,Jamling Cafe,249,113,4.095769882
17,two,馬六甲 馬來西亞風味館 安和店,4.2,415,NA,NA,4,12,106 台灣大安台北大安區安和路一段145號,大安區,,,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,tripadvisor_16.png,11:30AM-12:00AM,11:30AM-12:00AM,11:30AM-12:00AM,11:30AM-12:00AM,11:30AM-12:00AM,11:30AM-12:00AM,11:30AM-12:00AM,https://media-cdn.tripadvisor.com/media/photo-p/12/80/55/d2/photo0jpg.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d13203475-Reviews-Melaka_Kopitiam_Anhe_Branch-Da_an_Taipei.html,,馬六甲馬來西亞風味館- 安和店,NA,NA,4.194379391
18,two,瓦城泰國料理 安和店,4,913,NA,NA,4,47,106 台灣大安台北大安區安和路二段133號,大安區,,,0,0,0,0,0,1,0,0,0,0,0,0,0,550,tripadvisor_17.png,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,10:30AM-9:00PM,https://media-cdn.tripadvisor.com/media/photo-s/18/dd/60/80/1.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d6136766-Reviews-Thai_Town_Food-Da_an_Taipei.html,,瓦城泰國料理(安和店),600,500,4
19,two,石二鍋 台北安居店,4,1255,NA,NA,4,19,106 台灣大安台北大安區安居街50號(近和平東路) 台北安居店,大安區,,,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_18.png,休息,休息,10:00AM-5:00PM,10:00AM-5:00PM,10:00AM-5:00PM,10:00AM-5:00PM,10:00AM-5:00PM,https://media-cdn.tripadvisor.com/media/photo-s/08/b0/27/0e/caption.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d8456878-Reviews-12HOTPOT_Taipei_Anju-Da_an_Taipei.html,,石二鍋- 台北安居店,NA,NA,4
20,two,薩莉亞 師範大學店,3.9,2974,NA,NA,4,26,106 台灣大安台北大安區和平東路一段129-1號,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_19.png,休息,休息,6:00PM-11:00PM,6:00PM-11:00PM,6:00PM-12:00AM,6:00PM-12:00AM,6:00PM-11:00PM,https://media-cdn.tripadvisor.com/media/photo-s/1b/1c/18/24/pizza.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d11693149-Reviews-Saliya_NTNU_Store-Da_an_Taipei.html,,薩莉亞(師範大學店),NA,NA,3.900866667
21,two,Fafa Voilà 法法小館,5,3,NA,NA,4.5,19,106 台灣大安台北大安區延吉街164號1F,大安區,,,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,tripadvisor_20.png,"11:30AM-2:30PM, 5:30PM-9:30PM","11:30AM-2:30PM, 5:30PM-9:30PM","11:30AM-2:30PM, 5:30PM-9:30PM","11:30AM-2:30PM, 5:30PM-9:30PM","11:30AM-2:30PM, 5:30PM-9:30PM","11:00AM-2:30PM, 5:30PM-9:30PM","11:00AM-2:30PM, 5:30PM-9:30PM",https://media-cdn.tripadvisor.com/media/photo-o/06/db/4e/2b/caption.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d5570881-Reviews-Fafa_Voila-Da_an_Taipei.html,,法法小館,NA,NA,4.568181818
22,two,夏慕尼新香榭鐵板燒 台北忠孝東店,4.4,2565,NA,NA,4.5,361,106 台灣大安台北大安區忠孝東路4段333號2樓,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_21.png,"12:00PM-2:30PM, 6:00PM-10:30PM","12:00PM-2:30PM, 6:00PM-10:30PM","12:00PM-2:30PM, 6:00PM-10:30PM","12:00PM-2:30PM, 6:00PM-10:30PM","12:00PM-2:30PM, 6:00PM-10:30PM","12:00PM-2:30PM, 6:00PM-10:30PM","12:00PM-2:30PM, 6:00PM-10:30PM",https://media-cdn.tripadvisor.com/media/photo-s/1c/33/0e/ee/photo3jpg.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12940614-Reviews-Chamonix_Teppanaki_Zhongxiao_E_Rd_Branch-Da_an_Taipei.html,,夏慕尼- 忠孝東店,NA,NA,4.412337662
23,two,乃渥爾料理,4.1,16,NA,NA,3.5,17,106 台灣大安台北大安區忠孝東路三段249號1樓,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_22.png,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,https://media-cdn.tripadvisor.com/media/photo-s/0b/ba/e3/67/1.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d10117842-Reviews-Naior-Da_an_Taipei.html,,乃渥爾料理,NA,NA,3.790909091
24,two,元香老西門沙茶火鍋,3.8,187,NA,NA,3.5,3,106 台灣大安台北大安區忠孝東路四段126號愛群大廈2樓,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_23.png,"11:00AM-3:30PM, 5:00PM-10:00PM","11:00AM-3:30PM, 5:00PM-10:00PM","11:00AM-3:30PM, 5:00PM-10:00PM","11:00AM-3:30PM, 5:00PM-10:00PM","11:00AM-3:30PM, 5:00PM-10:00PM","11:00AM-3:30PM, 5:00PM-10:00PM","11:00AM-3:30PM, 5:00PM-10:00PM",https://media-cdn.tripadvisor.com/media/photo-o/11/10/f0/5f/caption.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12033927-Reviews-Goldpot-Da_an_Taipei.html,,老西門沙茶火鍋,NA,NA,3.795263158
25,two,Pocha 韓式熱炒,4,1471,NA,NA,4,24,106 台灣大安台北大安區忠孝東路四段216巷19弄9號,大安區,,,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,tripadvisor_24.png,"11:00AM-2:00PM, 5:00PM-10:00PM","11:00AM-2:00PM, 5:00PM-10:00PM","11:00AM-2:00PM, 5:00PM-10:00PM","11:00AM-2:00PM, 5:00PM-10:00PM","11:00AM-2:00PM, 5:00PM-10:00PM",11:00AM-10:00PM,11:00AM-10:00PM,https://media-cdn.tripadvisor.com/media/photo-s/18/b4/e9/42/pocha.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d11964715-Reviews-Pocha-Da_an_Taipei.html,,Pocha 韓式熱炒포차,NA,NA,4
26,two,A bar,4.8,4,NA,NA,4,4,106 台灣大安台北大安區忠孝東路四段223巷10弄5號,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,1,500,,11:00AM-9:30PM,11:00AM-9:30PM,11:00AM-9:30PM,11:00AM-9:30PM,11:00AM-9:30PM,11:00AM-9:30PM,11:00AM-9:30PM,,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d10733266-Reviews-Abar-Da_an_Taipei.html,,Abar,700,300,4.4
27,two,AMOS Bistro,4.2,112,NA,NA,4,5,106 台灣大安台北大安區金山南路二段31巷9-1號,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,tripadvisor_26.png,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,https://media-cdn.tripadvisor.com/media/photo-s/1a/9d/60/d5/caption.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12578818-Reviews-Amos_Bar-Da_an_Taipei.html,,Amos Bar,NA,NA,4.191452991
28,two,powder workshop,4.2,722,NA,NA,4.5,9,106 台灣大安台北大安區信義路二段86巷25號,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_27.png,"11:30AM-2:30PM, 5:00PM-9:00PM","11:30AM-2:30PM, 5:00PM-9:00PM","11:30AM-2:30PM, 5:00PM-9:00PM","11:30AM-2:30PM, 5:00PM-9:00PM","11:30AM-2:30PM, 5:00PM-9:00PM","11:30AM-2:30PM, 5:00PM-9:00PM","11:30AM-2:30PM, 5:00PM-9:00PM",https://media-cdn.tripadvisor.com/media/photo-s/10/1f/3c/81/photo3jpg.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12662748-Reviews-Powder_Workshop-Da_an_Taipei.html,,Powder Workshop,NA,NA,4.20369357
29,two,Port23,4.2,286,NA,NA,4,12,106 台灣大安台北大安區信義路四段30巷23號,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_28.png,"11:30AM-2:00PM, 5:30PM-9:30PM","11:30AM-2:00PM, 5:30PM-9:30PM","11:30AM-2:00PM, 5:30PM-9:30PM","11:30AM-2:00PM, 5:30PM-9:30PM","11:30AM-2:00PM, 5:30PM-9:30PM","11:30AM-2:00PM, 5:30PM-9:30PM","11:30AM-2:00PM, 5:30PM-9:30PM",https://media-cdn.tripadvisor.com/media/photo-s/15/32/dc/c1/caption.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12560377-Reviews-Port23-Da_an_Taipei.html,,Port23,NA,NA,4.191946309
30,two,這一鍋 台北信義殿,4.4,3240,NA,NA,4.5,678,106 台灣大安台北大安區信義路四段88號2樓信義殿,大安區,,,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_29.png,"11:30AM-2:30PM, 5:30PM-12:00AM","11:30AM-2:30PM, 5:30PM-12:00AM","11:30AM-2:30PM, 5:30PM-12:00AM","11:30AM-2:30PM, 5:30PM-12:00AM","11:30AM-2:30PM, 5:30PM-12:00AM","11:30AM-2:30PM, 5:30PM-12:00AM","11:30AM-5:00PM, 5:30PM-12:00AM",https://media-cdn.tripadvisor.com/media/photo-s/0e/2c/d3/21/caption.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d8550733-Reviews-Top_One_Pot_Xinyi-Da_an_Taipei.html,,這一鍋皇室秘藏鍋物(信義殿),NA,NA,4.417304747
31,two,小邵專業涼麵油飯,2.6,191,NA,NA,4,2,106 台灣大安台北大安區通化街154號,大安區,,,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_30.png,"11:30AM-2:00PM, 5:30PM-9:00PM","11:30AM-2:00PM, 5:30PM-9:00PM","11:30AM-2:00PM, 5:30PM-9:00PM","11:30AM-2:00PM, 5:30PM-9:00PM","11:30AM-2:00PM, 5:30PM-9:00PM","11:30AM-2:00PM, 5:30PM-9:00PM","11:30AM-2:00PM, 5:30PM-9:00PM",https://media-cdn.tripadvisor.com/media/photo-s/0b/83/43/8a/caption.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d10399656-Reviews-Xiaoshao_Noodle_Restaurant-Da_an_Taipei.html,,小邵專業涼麵油,NA,NA,2.614507772
32,two,韓老二 韓國烤肉,3.7,346,NA,NA,4,18,106 台灣大安台北大安區復興南路1段107巷32號,大安區,,,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,,休息,09:30AM-02:00AM,09:30AM-02:00AM,09:30AM-02:00AM,09:30AM-02:00AM,09:30AM-02:00AM,09:30AM-02:00AM,,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d10196410-Reviews-Korea_Style_No_2_BBQ-Da_an_Taipei.html,,韓老二韓國烤肉,NA,NA,3.714835165
33,two,The Soup 蔬店 。手作鍋物-復興店,4.3,423,NA,NA,4,11,106 台灣大安台北大安區復興南路一段107巷2號1樓,大安區,,,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,tripadvisor_32.png,"11:30AM-2:00PM, 5:30PM-8:30PM","11:30AM-2:00PM, 5:30PM-8:30PM","11:30AM-2:00PM, 5:30PM-8:30PM","11:30AM-2:00PM, 5:30PM-8:30PM","11:30AM-2:00PM, 5:30PM-8:30PM","11:30AM-3:00PM, 5:30PM-8:30PM","11:30AM-3:00PM, 5:30PM-8:30PM",https://media-cdn.tripadvisor.com/media/photo-s/10/3e/d7/2c/photo2jpg.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12419491-Reviews-The_Soup_Fuxing-Da_an_Taipei.html,,The Soup 蔬店。手作鍋物(復興店),NA,NA,4.292396313
34,two,enowine food & wine,4.3,207,NA,NA,4.5,3,106 台灣大安台北大安區復興南路一段350號,大安區,,,0,0,0,0,0,0,0,0,1,0,0,0,1,1150,tripadvisor_33.png,11:00AM-9:30PM,11:00AM-9:30PM,11:00AM-9:30PM,11:00AM-9:30PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-9:30PM,https://media-cdn.tripadvisor.com/media/photo-p/17/29/56/b4/nice-intimate-wine-bar.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12913321-Reviews-Enowine-Da_an_Taipei.html,,葡萄酒沙龍,1500,800,4.302857143
35,two,七里亭bar,3.8,380,NA,NA,3.5,3,106 台灣大安台北大安區復興南路二段358號,大安區,,,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,,6:00PM-02:00AM,6:00PM-02:00AM,6:00PM-02:00AM,6:00PM-02:00AM,6:00PM-03:00AM,6:00PM-03:00AM,6:00PM-02:00AM,,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d13084141-Reviews-Qi_Li_Ting_Bar-Da_an_Taipei.html,,七里亭Bar·茶飲簡餐,NA,NA,3.797650131
36,two,QUAY Café 奎咖啡館,3.7,201,NA,NA,4,12,106 台灣大安台北大安區敦化南路一段187巷62-1號1樓,大安區,,,0,0,0,0,0,0,0,0,0,0,1,0,0,400,tripadvisor_35.png,12:00PM-6:00PM,12:00PM-10:00AM,12:00PM-10:00AM,12:00PM-10:00AM,12:00PM-10:00AM,12:00PM-10:00AM,12:00PM-10:00AM,https://media-cdn.tripadvisor.com/media/photo-o/0c/fb/6d/98/caption.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d10784378-Reviews-Coffee_18-Da_an_Taipei.html,,十八居咖啡館,500,300,3.716901408
37,two,漢堡王 敦南店,3.9,2070,NA,NA,3.5,8,106 台灣大安台北大安區敦化南路二段164號,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_36.png,12:00AM-9:00PM,12:00AM-9:00PM,12:00AM-9:00PM,12:00AM-9:00PM,12:00AM-9:00PM,12:00AM-9:00PM,12:00AM-9:00PM,https://media-cdn.tripadvisor.com/media/photo-s/15/6c/5e/8a/20181118-192538-largejpg.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d10699278-Reviews-Burger_King_Dunnan-Da_an_Taipei.html,,漢堡王-敦南店,NA,NA,3.898460058
38,two,明森宇治抹茶。咖啡手作（大安森林店）,4.3,249,NA,NA,4,5,106 台灣大安台北大安區新生南路二段30巷1-2號1樓,大安區,,,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_37.png,11:30AM-10:00PM,11:30AM-10:00PM,11:30AM-10:00PM,11:30AM-10:00PM,11:30AM-10:00PM,11:30AM-10:00PM,11:30AM-9:30PM,https://media-cdn.tripadvisor.com/media/photo-s/0e/5f/16/d8/caption.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d10522902-Reviews-Min_Sen_Yu_Zhi_Mocha_Handmade_coffee_shop_Daan_Shop-Da_an_Taipei.html,,明森宇治抹茶.手作咖啡專賣店(大安森林店),NA,NA,4.294094488
39,two,甲泰船麵 Firsthai BoatNoodle,3.7,415,NA,NA,3.5,6,106 台灣大安台北大安路一段19巷13號一樓,大安區,,,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,tripadvisor_38.png,"11:00AM-2:30PM, 5:00PM-9:30PM","11:00AM-2:30PM, 5:00PM-9:30PM","11:00AM-2:30PM, 5:00PM-9:30PM","11:00AM-2:30PM, 5:00PM-9:30PM","11:00AM-2:30PM, 5:00PM-10:00PM","11:00AM-3:00PM, 5:00PM-10:00PM","11:00AM-3:00PM, 5:00PM-9:30PM",https://media-cdn.tripadvisor.com/media/photo-p/13/25/01/f3/photo5jpg.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d13108089-Reviews-Firsthai_Boat_Noodle-Da_an_Taipei.html,,甲泰船面,NA,NA,3.697149644
